B02001_001E,B02001_002E,state,county,tract,block group
1388,1271,05,133,080400,1
1386,750,05,031,000101,3
1267,1050,05,119,004214,2
1709,1001,05,045,030702,1
986,730,05,003,960300,4
1405,1375,05,059,020600,2
5668,4414,05,143,010507,2
825,253,05,093,010900,2
1271,1251,05,125,010512,1
1648,1331,05,097,953200,1
999,782,05,131,001001,1
5536,4706,05,131,001302,3
782,281,05,091,020600,3
522,519,05,021,950300,2
426,214,05,079,960300,1
409,18,05,069,000900,3
2516,2391,05,007,020401,2
2010,1240,05,069,002103,3
755,707,05,087,960200,3
1364,906,05,031,000200,1
1826,1739,05,045,030401,1
2887,2595,05,131,010101,2
903,544,05,115,951600,3
965,654,05,031,000300,5
299,77,05,011,950300,1
3086,3048,05,007,020701,2
1852,1779,05,121,960301,3
1396,1202,05,031,000802,3
2090,2059,05,145,071100,3
895,393,05,057,480300,1
689,657,05,007,021409,2
388,304,05,077,470100,2
921,716,05,099,090100,3
1019,488,05,139,950100,3
1917,605,05,031,000601,3
1508,1384,05,139,950400,3
1478,1452,05,143,010508,2
1105,0,05,035,030101,2
593,593,05,129,970200,3
223,37,05,051,010600,4
1557,1485,05,109,953500,2
1305,1026,05,033,020600,6
1016,878,05,047,950200,5
796,585,05,039,970200,2
1012,1012,05,135,470200,2
1827,1769,05,115,951502,4
1639,1611,05,075,470502,3
402,402,05,111,490100,1
1642,1314,05,045,031003,1
727,646,05,119,004221,4
1721,940,05,045,030501,3
863,12,05,119,002800,3
1623,916,05,119,003609,3
1150,1073,05,119,001600,1
475,120,05,035,030600,4
1479,1000,05,131,001304,5
724,627,05,105,952900,1
683,619,05,019,953700,3
1201,1131,05,071,952100,3
680,650,05,113,950200,3
424,4,05,069,001300,3
1178,1096,05,007,021301,3
1198,1163,05,087,960100,2
1021,922,05,081,030101,3
1083,777,05,119,003703,5
846,486,05,131,001202,3
687,613,05,103,950300,3
633,455,05,051,010900,4
997,950,05,141,460400,2
3680,2830,05,067,480400,1
1236,810,05,043,490400,2
2268,2210,05,143,011003,2
6083,5803,05,085,020101,1
779,139,05,017,080400,3
721,670,05,117,460300,1
1491,1136,05,085,020301,2
931,870,05,121,960200,4
471,418,05,091,021000,7
745,459,05,119,002203,2
556,28,05,119,001800,4
378,55,05,119,002600,1
808,524,05,149,952500,1
940,940,05,143,010107,1
1856,350,05,123,960600,4
1026,626,05,119,003500,1
2147,1922,05,149,952402,2
1216,1180,05,013,480200,1
671,467,05,013,480200,2
3383,3249,05,143,011001,1
515,0,05,107,480500,3
1006,791,05,007,021101,3
1539,1512,05,137,950201,1
987,844,05,119,004201,2
499,497,05,049,550100,6
609,579,05,033,020502,3
2489,2332,05,069,002400,2
1285,1082,05,007,021310,4
1250,1237,05,055,480100,1
2152,275,05,119,004108,3
1173,1068,05,009,790502,2
1601,1263,05,145,071200,1
1883,1676,05,007,020206,1
1292,741,05,031,000401,3
2202,1942,05,031,000502,2
3037,2901,05,031,000802,2
1753,1267,05,031,000402,2
1007,546,05,031,000102,2
1499,343,05,119,002408,4
873,529,05,145,070900,5
1410,1327,05,145,070900,3
464,413,05,145,070700,3
1274,1108,05,145,071100,2
1705,1687,05,009,790400,1
1436,1309,05,007,021306,1
2356,2058,05,007,021308,2
1865,1766,05,007,020203,1
1354,586,05,057,480500,1
1457,1441,05,137,950202,2
1632,1571,05,137,950202,1
2003,1998,05,055,480400,2
1136,1118,05,009,790501,3
1566,1458,05,009,790502,1
1174,1079,05,063,490500,2
943,887,05,063,490700,3
670,568,05,111,490500,2
671,636,05,143,011300,1
1715,1539,05,007,020305,2
625,35,05,017,080200,3
1067,808,05,017,080100,1
1370,1365,05,049,550100,4
769,706,05,049,550100,5
1192,465,05,119,003208,2
545,503,05,119,003711,2
1471,1108,05,013,480100,1
596,274,05,099,090300,1
357,338,05,135,470200,6
727,717,05,135,470200,7
681,536,05,085,020202,3
1331,1252,05,101,180100,3
867,671,05,073,470100,2
2281,2016,05,007,020102,1
2016,405,05,119,004106,3
1012,986,05,023,480502,3
1178,1116,05,023,480202,2
1043,1008,05,023,480202,1
1931,1844,05,023,480100,3
2750,2141,05,019,953601,3
1961,1729,05,007,020206,2
1533,1487,05,007,021409,1
1155,1105,05,007,021405,2
643,511,05,043,490500,2
1611,1132,05,043,490300,2
1320,1101,05,133,080400,2
2517,1237,05,133,080300,1
1420,1148,05,133,080200,2
1499,1307,05,133,080100,2
1819,734,05,107,480300,4
1675,1592,05,031,000801,2
3108,2694,05,031,000501,2
2026,1839,05,055,480400,4
633,620,05,125,010303,3
1529,1529,05,145,071000,3
1547,1189,05,145,070300,2
1667,1139,05,119,002203,4
1690,975,05,007,020501,4
533,533,05,005,950600,3
1171,698,05,149,952301,3
1164,816,05,073,470200,2
2696,2469,05,055,480500,2
2235,2005,05,007,020901,1
2788,1021,05,123,960600,6
552,552,05,063,490700,4
1058,344,05,057,480200,1
1228,1201,05,145,070100,3
1724,1678,05,145,071200,2
3964,3922,05,145,071000,1
