B02001_001E,B02001_002E,state,county,tract,block group
523,194,02,020,001900,4
979,562,02,020,001000,1
1353,25,02,050,000100,4
1632,1074,02,090,001500,1
1414,1266,02,122,000700,6
2564,1678,02,020,002601,2
3253,2810,02,122,001000,1
807,528,02,020,002202,4
944,486,02,020,002000,4
807,601,02,020,000500,1
1449,1244,02,170,000800,1
1345,441,02,020,001400,4
1500,933,02,020,002201,3
1309,1173,02,020,000204,1
587,128,02,070,000200,2
2287,1945,02,020,002813,2
896,38,02,188,000100,2
510,174,02,290,000300,2
157,147,02,220,000100,1
1940,1358,02,090,001600,3
2479,2011,02,090,000900,2
209,181,02,090,001700,2
184,175,02,130,000100,5
829,742,02,195,000200,4
835,606,02,020,001802,3
1044,823,02,020,002502,1
1305,347,02,020,002712,2
2239,1195,02,020,002712,3
1755,619,02,020,002201,2
925,639,02,020,000802,3
1756,990,02,261,000200,1
708,647,02,261,000300,5
477,347,02,261,000300,3
2646,2200,02,122,000400,1
972,686,02,122,000500,2
2057,1875,02,122,000500,4
947,656,02,020,002301,4
1762,469,02,050,000200,2
876,73,02,185,000200,1
1473,104,02,185,000100,2
704,504,02,220,000100,5
1280,532,02,020,002400,2
1278,251,02,020,000703,4
902,573,02,020,000703,3
1994,1297,02,020,000701,1
1707,1149,02,020,000701,2
996,110,02,180,000100,4
768,37,02,070,000100,3
531,158,02,070,000200,3
1132,952,02,100,000100,2
589,190,02,110,000400,3
1936,1636,02,110,000600,1
15,15,02,198,000300,1
806,216,02,105,000300,2
1009,138,02,198,940100,2
1061,917,02,230,000100,1
927,446,02,198,000200,1
3334,2861,02,170,001004,1
1936,1501,02,170,001003,1
1828,1552,02,170,000703,2
2414,2008,02,170,000705,1
4341,3615,02,170,000603,2
787,546,02,195,000200,3
617,5,02,158,000100,2
528,384,02,275,000300,3
806,585,02,275,000300,1
678,543,02,020,001200,2
1820,488,02,020,001601,2
2029,1312,02,020,001701,2
1541,683,02,020,002601,1
839,605,02,020,002711,3
838,766,02,020,002711,1
1642,1472,02,020,002821,2
933,532,02,020,001702,1
660,459,02,020,001702,2
984,900,02,122,000900,2
930,452,02,122,001200,1
969,273,02,016,000100,1
730,78,02,188,000100,3
1219,211,02,188,000200,4
1148,151,02,013,000100,2
1146,896,02,220,000100,3
1491,1007,02,220,000200,1
1416,679,02,220,000200,3
552,332,02,090,000300,1
1050,651,02,090,000300,3
2989,2475,02,090,001500,5
1627,1346,02,090,001500,3
879,763,02,090,001600,4
516,411,02,090,000100,2
1087,918,02,090,000800,1
2194,1655,02,170,000800,2
1499,1297,02,170,000900,2
1288,1197,02,170,001300,2
3419,2772,02,170,001100,2
873,173,02,180,000200,3
1483,348,02,180,000200,4
888,25,02,180,000100,3
312,208,02,020,001400,5
634,404,02,020,001400,1
8693,6423,02,020,000300,1
1144,507,02,020,000500,2
1265,826,02,020,001732,3
632,55,02,180,000100,2
991,703,02,020,002202,3
2030,1553,02,020,002303,3
1357,401,02,020,002303,6
2325,1950,02,020,002812,2
1132,976,02,020,000202,1
1763,1290,02,020,000202,4
446,215,02,020,002000,1
813,637,02,020,002100,5
654,436,02,020,002100,3
937,565,02,020,002302,2
2763,1352,02,020,002602,1
880,488,02,020,002602,2
2090,1583,02,090,000200,1
1374,1289,02,020,000102,2
2214,1399,02,020,000102,4
2431,2250,02,020,000203,2
3504,2841,02,090,000900,1
1262,1219,02,090,001400,3
1894,1279,02,090,000700,1
778,620,02,090,001000,1
27,27,02,090,001800,1
786,626,02,090,001900,5
9664,6932,02,090,001100,1
407,350,02,130,000100,1
1000,524,02,020,000802,5
1196,1008,02,090,000600,1
1637,1313,02,170,001001,2
2617,2333,02,240,000400,3
4000,3389,02,170,000706,2
1876,296,02,020,000901,2
1925,1303,02,150,000200,2
1309,339,02,150,000300,1
866,17,02,188,000100,4
2901,2157,02,110,000300,1
738,663,02,110,000300,4
1700,1361,02,110,000100,3
802,184,02,164,000100,1
654,111,02,290,000100,2
764,228,02,290,000200,1
491,33,02,290,000300,3
1397,1244,02,020,001500,1
1325,1063,02,020,000203,5
1257,447,02,020,001900,5
757,219,02,020,001900,1
924,182,02,020,000600,5
920,428,02,020,000600,3
1087,394,02,020,000600,7
2667,1297,02,020,000702,3
756,404,02,020,000902,2
1445,515,02,020,001000,2
683,645,02,020,001200,5
998,681,02,122,000600,4
1392,1232,02,122,000600,6
953,513,02,020,000801,7
694,201,02,020,000801,3
574,426,02,020,002501,2
1399,827,02,020,002501,1
1367,901,02,020,002501,5
897,704,02,020,002501,4
2787,1911,02,020,002603,3
1698,1198,02,020,002603,1
1162,806,02,020,002603,2
1235,857,02,020,002702,4
2543,1638,02,020,002702,2
1584,1199,02,020,002702,3
2821,2337,02,020,002702,1
1805,1330,02,020,002702,5
1404,383,02,020,000801,1
1246,541,02,020,000801,4
514,213,02,020,000801,2
759,305,02,020,000801,5
1593,355,02,020,000801,6
1181,618,02,020,000802,4
1031,931,02,170,000102,1
820,724,02,170,000102,2
1216,1018,02,170,000402,2
910,836,02,170,000402,1
552,445,02,170,000101,1
2172,1832,02,170,000401,1
745,653,02,170,000502,1
1073,879,02,170,000502,2
737,660,02,170,000501,1
742,676,02,170,000501,2
1311,893,02,170,000604,2
3529,3185,02,170,000604,1
2433,1928,02,170,001201,1
3593,2919,02,170,001201,2
1053,971,02,240,000400,2
161,90,02,240,000400,4
813,672,02,240,000400,1
2187,1590,02,170,001001,1
2515,2023,02,170,000706,1
3171,2523,02,170,001202,2
693,544,02,020,001500,3
977,443,02,020,001500,5
1399,904,02,020,001500,2
3030,2523,02,020,000101,3
464,351,02,020,000101,1
2215,2010,02,020,000101,2
724,371,02,020,001100,2
214,161,02,020,001100,1
1316,1115,02,020,001300,1
1132,922,02,020,001300,3
679,666,02,020,001300,2
1173,811,02,020,001602,4
1143,495,02,020,001602,3
847,381,02,020,001602,1
1287,860,02,020,001602,2
1587,727,02,020,002301,2
3077,2818,02,020,002301,1
858,150,02,188,000200,1
558,225,02,188,000200,3
653,65,02,188,000200,2
1265,1045,02,020,002822,2
1389,254,02,013,000100,3
888,200,02,013,000100,1
843,532,02,220,000100,4
2179,712,02,020,000901,1
957,405,02,020,001900,2
90,68,02,020,001900,3
1302,615,02,020,000600,2
1135,239,02,020,000600,4
138,89,02,020,000600,1
313,92,02,020,000600,8
797,242,02,020,000600,6
1543,622,02,020,000702,1
1534,633,02,020,000702,2
668,420,02,020,000902,3
1490,452,02,020,000902,1
739,500,02,020,001000,3
582,510,02,020,001000,4
809,609,02,020,001200,1
1412,1044,02,122,000600,2
977,578,02,122,000600,3
1276,825,02,122,000600,1
1632,1380,02,122,000600,5
968,341,02,020,000901,3
891,737,02,130,000100,2
923,492,02,130,000400,1
1416,1099,02,130,000400,2
2383,1417,02,130,000200,2
1548,929,02,130,000200,1
1129,613,02,130,000300,1
1086,670,02,130,000300,2
824,459,02,130,000300,3
4281,3665,02,170,000300,1
2805,2542,02,170,000300,2
2274,1670,02,170,000800,3
1662,1432,02,170,000900,1
1800,1609,02,170,001300,3
2641,2269,02,170,001300,4
833,712,02,170,001300,1
3584,2991,02,170,001100,1
1487,984,02,170,000200,1
566,508,02,170,000200,2
887,475,02,180,000200,1
842,316,02,180,000200,2
1522,30,02,180,000100,6
941,32,02,180,000100,5
861,37,02,180,000100,1
949,398,02,020,001400,6
752,638,02,020,001400,2
1055,473,02,020,001400,3
1397,601,02,020,001802,2
1231,669,02,220,000200,2
240,218,02,220,000200,6
578,293,02,220,000200,5
1628,599,02,090,000300,2
1099,507,02,090,000300,4
2187,1692,02,090,001500,2
1784,1489,02,090,001500,4
794,632,02,090,001500,6
1312,1042,02,090,001600,2
624,572,02,090,001600,1
771,432,02,090,000100,1
1232,539,02,090,000500,1
1518,1061,02,090,000500,2
1745,1066,02,090,000800,2
1385,789,02,090,000800,4
451,337,02,220,000200,4
470,351,02,020,001802,1
2334,748,02,020,001802,4
886,620,02,020,002502,4
2243,800,02,020,002502,2
916,566,02,020,002502,3
1264,792,02,020,002712,5
1458,690,02,020,002712,1
3047,2249,02,020,002712,4
723,355,02,020,002201,4
476,400,02,122,001100,4
1168,1065,02,122,001100,2
1256,758,02,090,000800,3
1653,939,02,090,001300,5
1277,1054,02,090,001300,2
2002,1749,02,090,001300,3
919,849,02,090,001300,4
1059,922,02,090,001300,1
618,458,02,090,000400,2
1718,1199,02,090,000400,4
1025,839,02,090,000400,1
747,294,02,090,000400,3
2504,1917,02,090,001200,3
483,94,02,122,000100,1
1194,1027,02,122,000300,1
2770,1959,02,122,001300,2
1632,1346,02,122,001300,1
2825,2556,02,122,000700,1
1885,1774,02,122,000700,3
1746,1429,02,122,000700,2
1453,1305,02,122,000700,4
756,712,02,122,000700,5
1251,1136,02,122,000400,3
2686,2516,02,122,000400,2
2591,2357,02,122,000500,3
1645,1456,02,122,000500,1
744,665,02,020,001200,3
990,888,02,020,001200,4
1275,918,02,020,001601,3
963,566,02,020,001601,1
594,594,02,122,001100,1
1481,807,02,020,001701,4
890,491,02,020,001701,5
1201,985,02,020,001701,3
878,570,02,020,001701,1
1303,458,02,020,002601,3
4134,3180,02,020,002711,4
1152,497,02,020,002711,2
1752,1540,02,020,002821,3
1647,924,02,020,002821,1
1350,1213,02,020,002823,1
4034,3422,02,020,002823,2
1675,1045,02,020,001702,4
1117,995,02,020,001702,3
590,416,02,020,001702,5
1453,1283,02,122,000900,1
1202,997,02,122,001000,2
2624,1123,02,016,000200,2
2157,303,02,016,000200,1
