B01001_001E,B01001B_001E,B01001C_001E,B01001D_001E,B01001E_001E,B01001F_001E,B01001G_001E,B03002_003E,B03002_013E,state,county,tract
1930,1566,0,27,0,89,19,143,86,10,003,002100
3193,1125,0,53,0,0,148,1316,551,10,003,002500
2401,86,19,550,0,0,33,1691,22,10,003,011201
2134,53,5,66,0,0,10,1983,17,10,003,011300
3088,71,7,404,0,27,116,2403,60,10,003,011500
4210,14,0,58,0,16,114,3861,147,10,003,011700
2864,279,41,61,0,267,48,1683,485,10,003,012300
6151,1808,12,373,0,93,442,2751,672,10,003,014808
5944,298,6,484,0,180,109,4530,337,10,003,013610
4145,456,0,153,0,170,48,2416,902,10,003,013700
4812,1448,0,791,0,0,35,2136,402,10,003,014904
1870,130,0,96,0,18,42,1466,118,10,003,013000
12591,2632,25,315,0,163,448,7877,1131,10,003,016604
7375,1520,10,320,0,57,202,4906,360,10,003,014810
5122,2434,0,482,0,259,269,1477,201,10,003,014906
4919,2355,0,148,0,139,240,1749,288,10,003,014907
2040,1322,5,0,0,1,28,565,119,10,003,014908
6158,3434,0,84,0,191,229,1520,700,10,003,014909
2717,1809,0,0,0,87,93,602,126,10,003,015502
2266,373,0,27,0,224,126,940,576,10,003,015802
7980,4105,23,515,0,31,224,2575,507,10,003,016305
3047,528,78,51,0,36,74,2143,137,10,003,016404
5485,870,17,49,0,27,117,4348,57,10,003,016608
7658,1729,0,264,0,264,110,5223,68,10,003,016804
4017,1659,4,0,4,67,89,2110,84,10,003,016904
0,0,0,0,0,0,0,0,0,10,003,980100
0,0,0,0,0,0,0,0,0,10,003,990100
4484,629,19,44,0,195,331,2637,629,10,005,050104
5972,1288,0,53,0,261,192,3096,1082,10,005,050105
2597,453,8,43,0,22,76,1920,75,10,003,016200
5561,1692,25,732,0,131,160,2686,135,10,003,016301
12443,2607,0,94,0,250,328,8398,766,10,003,016601
9039,1271,0,608,0,14,100,6725,321,10,003,016602
2216,30,0,1,0,0,13,2166,6,10,003,016901
2956,2688,7,35,0,0,0,189,37,10,003,000602
1596,657,0,35,6,44,12,777,65,10,003,002800
3638,3376,2,0,0,0,49,203,8,10,003,002900
1952,1331,0,91,0,0,40,485,5,10,003,001902
3518,2634,6,8,5,92,58,572,143,10,003,003002
3452,1206,0,67,0,0,24,2079,76,10,003,010104
6157,1001,0,55,2,9,275,4406,409,10,003,010502
5819,2568,16,576,0,0,334,2067,258,10,003,010702
3050,161,44,341,0,0,56,2445,3,10,003,013505
4391,110,0,455,0,8,97,3658,63,10,003,013506
3172,270,0,121,0,134,13,1733,901,10,003,013614
3795,56,0,18,0,227,34,3018,442,10,003,013615
2961,1010,0,210,0,212,140,1057,332,10,003,014706
8954,1932,12,1117,0,131,271,5066,425,10,003,014807
2757,2218,0,0,0,136,21,50,332,10,003,015400
6071,3850,0,58,0,308,89,1586,180,10,003,000200
2186,1932,0,20,0,27,60,42,105,10,003,000900
4019,1622,8,545,0,39,183,1589,33,10,003,010101
1989,131,3,152,0,3,21,1679,0,10,003,011205
7029,297,0,695,0,12,0,5970,55,10,003,013501
6919,582,0,402,6,15,173,5558,183,10,003,014300
3140,695,0,132,0,8,55,1822,428,10,003,013901
4483,2062,0,0,0,106,94,1892,329,10,003,002400
5806,1402,21,89,0,584,277,2510,923,10,003,015200
2137,860,29,52,0,34,87,969,106,10,003,001500
4718,1185,16,408,0,15,5,3089,0,10,003,011203
2278,587,0,59,16,62,31,1342,181,10,003,001400
2725,373,0,124,0,25,59,1831,313,10,003,012100
5823,503,50,767,0,52,4,4351,96,10,003,013607
2761,1277,0,129,0,70,82,686,517,10,003,015600
4350,254,0,88,0,22,17,3851,118,10,003,011206
3782,3343,9,0,0,15,101,314,0,10,003,000500
7211,198,0,725,0,12,164,6087,25,10,003,013503
3991,346,0,35,0,0,85,3368,157,10,005,050101
3834,493,0,10,0,0,133,3151,47,10,005,050401
5280,467,0,87,0,81,32,3859,754,10,005,050601
8490,1899,31,64,0,38,73,5566,819,10,005,050301
4275,507,0,116,0,131,57,3006,458,10,005,050501
5318,35,11,24,0,109,40,4985,114,10,005,051303
3670,886,11,38,0,76,149,2102,408,10,005,050403
8071,529,21,176,12,76,76,7017,164,10,005,050803
5613,1145,17,55,0,189,432,3426,349,10,005,051500
6311,1733,14,342,0,135,172,3735,180,10,003,016401
6269,183,49,1271,0,0,149,4427,190,10,003,013612
6413,287,0,439,0,116,153,5147,271,10,003,014502
4606,682,23,481,0,178,102,2760,380,10,003,014703
3662,842,31,31,0,24,25,2520,189,10,003,015100
2682,1330,0,39,0,139,171,948,55,10,003,016000
2933,1495,26,0,0,0,40,1219,153,10,003,000400
3512,127,0,110,0,0,52,3169,54,10,003,001300
3512,2150,0,38,0,224,64,518,518,10,003,002600
2157,533,0,34,0,33,27,1422,108,10,003,010200
3220,829,0,253,0,0,0,2065,73,10,003,010300
4865,604,31,328,0,78,81,3590,153,10,003,010800
2606,45,0,94,0,0,38,2320,109,10,003,010900
4347,562,32,25,0,115,87,2599,927,10,003,012400
2922,184,0,30,2,0,40,2634,32,10,003,011100
4161,160,0,492,0,33,108,3287,81,10,003,011202
4113,28,0,426,0,0,69,3590,0,10,003,011800
3982,562,0,55,0,94,217,2775,279,10,005,050405
5123,1758,0,51,0,175,178,2479,482,10,005,050406
5364,1639,0,117,0,12,90,3059,447,10,005,050407
4365,1269,0,81,0,21,152,2384,458,10,005,050408
5347,669,4,109,174,444,67,1872,2008,10,005,050503
6555,1133,0,143,0,68,48,4108,1055,10,005,050504
2006,162,171,6,0,101,119,1355,92,10,005,050703
4506,312,0,9,0,25,97,3883,180,10,005,050705
4690,323,0,67,0,55,20,4028,197,10,005,050704
1835,0,31,0,0,0,10,1794,0,10,005,050706
2662,14,57,75,0,0,67,2355,94,10,005,050901
