B01001_001E,B01001B_001E,B01001C_001E,B01001D_001E,B01001E_001E,B01001F_001E,B01001G_001E,B03002_003E,B03002_013E,state,county,tract
6150,231,155,189,0,479,142,3296,1658,04,013,092309
3505,200,51,281,9,438,174,1412,940,04,013,092711
2521,7,30,111,0,15,60,2048,250,04,013,103206
2622,14,5,22,0,77,29,2271,204,04,013,103207
6963,377,225,338,45,24,340,5008,606,04,013,103210
6970,233,109,91,0,291,211,4441,1594,04,013,103302
4692,229,87,17,0,271,214,1360,2514,04,013,103306
4972,65,68,38,0,7,221,3022,1551,04,013,103400
9284,447,325,54,0,3050,561,653,4194,04,013,109701
4895,265,101,55,0,1155,200,448,2671,04,013,110001
4256,356,176,194,0,391,178,2363,598,04,013,110600
4420,162,13,274,0,33,25,3434,479,04,013,111000
2360,292,44,0,0,464,56,596,908,04,013,111202
1559,527,90,96,0,77,73,460,236,04,013,111203
6441,383,506,157,13,1406,271,2762,943,04,013,111700
4755,36,0,3,0,538,0,620,3558,04,013,112201
5842,420,6,15,0,1666,196,260,3279,04,013,112402
7787,30,274,0,0,833,93,401,6156,04,013,112602
2120,203,31,49,0,58,116,1370,293,04,013,113000
334,46,35,3,11,31,12,129,67,04,013,113400
1648,156,3,0,0,198,29,252,1010,04,013,114401
4243,916,13,23,0,519,193,478,2101,04,013,115600
4682,627,51,40,0,711,36,287,2930,04,013,115801
3677,194,94,0,0,223,45,267,2854,04,013,115802
8733,1598,451,442,0,811,348,3519,1564,04,013,116704
7903,544,539,0,0,848,353,3322,2297,04,021,001100
8239,96,320,308,0,672,347,3810,2686,04,021,001301
4587,315,194,12,0,101,130,1625,2210,04,021,001000
3753,0,0,0,0,112,67,1478,2096,04,021,000700
6227,198,186,64,0,1121,335,2236,2087,04,021,001600
5612,12,4929,18,15,33,186,217,202,04,021,941200
5215,38,0,167,0,0,281,4490,239,04,021,000201
3018,15,61,0,0,195,37,836,1874,04,021,000400
4073,88,377,0,0,780,317,801,1710,04,021,001500
4815,105,455,11,0,228,80,2622,1314,04,021,001200
2492,259,192,17,0,284,256,684,800,04,021,001900
5225,42,66,39,0,21,171,3880,1006,04,003,002002
4611,72,161,204,0,33,123,3547,471,04,005,001101
8339,71,1169,516,0,199,485,4440,1459,04,005,001102
5193,0,876,19,0,18,134,3640,506,04,005,001301
5633,0,623,37,0,71,51,4055,796,04,005,001302
6735,3,118,185,0,331,18,5569,511,04,005,002200
5891,60,845,145,0,232,298,3992,319,04,005,002300
3795,4,3749,0,24,5,0,10,3,04,005,942201
3467,4,3442,0,0,8,0,13,0,04,005,942202
3697,269,65,102,0,178,196,1779,1108,04,019,003102
6856,82,764,105,0,1161,288,572,3884,04,019,003702
4230,155,2,176,123,116,183,3025,450,04,019,004048
11611,866,299,963,43,555,507,6687,1691,04,019,000500
4119,279,806,88,0,1085,216,531,1114,04,019,001200
4340,186,187,375,146,400,145,2180,721,04,019,002602
2271,122,2,26,0,53,82,1424,562,04,019,002803
4986,77,31,20,0,624,220,3337,677,04,019,003002
5033,30,45,60,0,53,118,3986,741,04,019,004109
4956,25,57,83,0,9,174,4220,388,04,019,004051
3525,176,82,52,0,36,80,2905,194,04,019,004055
5087,63,0,70,0,60,218,4044,632,04,019,004061
2452,26,44,59,0,594,84,654,991,04,019,004310
4669,83,125,40,0,548,69,2775,1029,04,019,004313
3538,52,67,128,0,0,161,2399,731,04,019,004418
7011,71,28,267,0,1127,516,2581,2421,04,019,004504
2114,40,8,68,0,44,48,1184,722,04,019,002704
2483,25,22,97,0,165,100,1699,375,04,019,002906
5242,886,29,221,17,530,438,1678,1443,04,019,004118
8400,1155,250,155,0,570,740,2578,2952,04,019,004121
7127,207,64,227,25,448,404,4316,1436,04,019,004125
3450,1,670,42,0,245,84,1346,1062,04,019,005200
3941,122,164,140,0,67,106,3043,299,04,019,005300
8578,363,849,411,154,574,94,4459,1674,04,013,218200
6456,156,114,338,0,292,206,4671,679,04,013,319600
4016,116,0,0,0,0,37,3676,187,04,013,071506
5181,307,35,78,0,1309,376,655,2421,04,013,082010
4254,224,2,124,5,808,127,2045,919,04,013,092709
5033,28,46,168,39,14,169,4399,170,04,013,103209
5375,561,256,185,0,635,177,2827,734,04,013,103609
3855,36,58,478,0,312,76,2121,774,04,013,104204
3765,120,48,140,0,13,236,2903,305,04,013,104215
5724,72,218,20,0,273,220,4049,872,04,013,420210
5972,409,12,15,0,1932,137,441,3026,04,013,112401
4378,145,36,80,0,352,111,698,2956,04,013,112202
2225,44,56,0,0,109,32,209,1775,04,013,112508
6121,138,83,173,0,49,94,4974,610,04,013,420105
3580,271,37,264,0,10,168,2568,262,04,013,319906
2126,39,45,71,26,15,29,1832,69,04,013,319907
5196,144,94,494,0,270,134,3549,511,04,013,319910
4726,0,4520,28,0,0,0,167,11,04,005,944900
4438,30,4375,0,0,13,4,16,0,04,005,945000
3943,2,3826,19,0,3,69,18,6,04,005,945100
4499,7,4351,0,0,0,54,87,0,04,005,945200
6162,133,297,103,0,25,61,5346,197,04,007,000301
3463,45,82,31,5,237,111,2524,428,04,009,961201
3598,3,10,21,0,1,13,2313,1237,04,009,961202
2872,0,18,0,0,9,64,2753,28,04,007,000302
4383,7,71,6,10,111,110,3150,918,04,009,961100
3002,68,70,22,0,79,7,1628,1128,04,009,961300
5302,170,7,3,0,114,158,2555,2295,04,009,961400
4713,5,6,48,0,24,222,3175,1233,04,009,961500
2910,195,188,59,11,321,70,1254,812,04,009,961600
5794,259,127,56,25,109,0,2678,2540,04,009,961700
2939,74,124,6,0,92,3,1080,1560,04,011,960100
3799,128,290,23,0,52,3,1540,1763,04,011,960200
2766,11,22,0,0,19,15,1854,845,04,011,960300
1797,0,0,0,0,0,35,1703,59,04,012,020501
4350,31,19,18,0,28,68,3615,571,04,025,000700
8179,116,138,127,0,127,436,6826,409,04,025,001500
2193,0,10,0,0,165,38,1416,564,04,025,001300
6615,83,33,91,0,17,16,6359,16,04,013,040507
5750,28,0,0,0,21,17,5668,16,04,013,040506
10649,680,82,532,0,543,326,6008,2478,04,013,061009
3435,0,0,0,0,0,0,3422,13,04,013,071504
3151,182,0,78,0,329,227,1789,546,04,013,071911
7420,600,186,46,14,948,374,2602,2650,04,013,082002
4553,67,42,68,0,1349,107,881,2039,04,013,082007
6033,297,0,153,0,1677,326,808,2772,04,013,082009
5155,291,114,80,8,174,64,4201,223,04,013,420302
5207,225,200,1,0,205,157,3451,968,04,013,420800
