B01001_001E,B01001B_001E,B01001C_001E,B01001D_001E,B01001E_001E,B01001F_001E,B01001G_001E,B03002_003E,B03002_013E,state,county,tract
1270,692,0,11,0,15,0,466,86,12,055,960102
4364,604,43,17,0,439,146,2761,354,12,055,960103
1365,40,0,0,0,89,9,1094,133,12,055,960501
7296,493,0,730,0,142,125,5271,535,12,055,960502
3101,390,0,36,0,350,47,1852,426,12,055,960601
6831,110,0,8,0,174,630,5658,251,12,055,960602
6156,105,0,84,0,88,233,4623,1023,12,055,961301
6050,2146,30,44,0,510,339,1319,1662,12,011,050702
4662,3516,0,33,0,273,54,384,402,12,011,010304
8762,5464,12,18,0,14,94,1849,1311,12,011,030302
5520,3819,5,46,0,59,52,1359,180,12,011,040801
4660,474,0,100,0,43,67,2596,1380,12,011,043100
8509,5828,29,12,7,119,271,1257,986,12,011,030600
7292,945,16,146,0,107,112,4530,1436,12,011,042500
3385,3157,0,15,0,33,44,45,91,12,011,060304
1297,54,0,70,0,126,88,575,384,12,011,070102
5451,759,0,111,0,1123,133,964,2361,12,011,091201
6907,1831,0,390,23,462,108,2564,1529,12,011,110311
3408,165,3,66,0,114,47,2064,949,12,011,010402
1906,228,0,6,0,0,26,1313,333,12,011,020321
2987,280,0,36,0,57,18,2395,201,12,011,030902
1451,15,0,0,0,0,10,1354,72,12,011,042400
7051,6100,93,15,0,88,156,335,264,12,011,060302
3228,56,0,144,0,159,145,1164,1560,12,011,070310
2185,25,22,8,0,33,0,1810,287,12,087,970500
2852,4,0,17,0,0,24,2089,718,12,087,970700
4303,27,16,18,0,30,43,3671,498,12,087,970800
2430,481,9,17,0,142,0,1484,297,12,087,972400
763,5,0,1,0,0,5,631,121,12,087,972600
10031,1709,69,17,0,436,364,705,6731,12,086,011001
5059,42,0,35,0,163,66,195,4558,12,086,000601
5681,17,0,0,0,0,44,272,5348,12,086,000602
8244,174,0,36,0,463,26,58,7487,12,086,000706
4654,1212,4,137,0,293,187,1649,1172,12,086,001104
4872,856,0,0,22,313,267,1806,1608,12,086,001302
3945,2986,0,0,0,462,0,0,497,12,086,001502
2843,331,0,39,0,0,33,1757,683,12,095,017805
3522,328,0,46,0,107,191,2599,251,12,095,017808
5579,819,0,473,129,243,245,1269,2401,12,095,017011
5455,1211,140,197,0,1315,251,789,1552,12,095,016902
5335,346,0,141,18,534,170,2839,1287,12,095,017004
16523,3156,78,772,0,99,307,8331,3780,12,095,017802
5373,650,0,223,0,102,35,3500,863,12,095,017806
4186,3801,0,1,0,47,69,259,9,12,095,011701
5916,4628,0,213,0,201,82,416,376,12,095,012202
2882,0,8,24,0,0,0,2777,73,12,115,001904
1864,26,0,23,0,19,19,1730,47,12,115,002603
3603,115,11,93,0,162,46,2868,308,12,115,000503
2749,0,0,18,0,0,13,2633,85,12,115,000700
2046,0,4,38,0,0,33,1971,0,12,115,000801
8251,123,20,322,0,0,41,7308,437,12,115,001401
3761,67,0,163,0,154,70,2837,470,12,115,001602
2741,92,0,41,0,24,77,2257,250,12,115,001704
7095,59,0,59,0,14,83,6209,671,12,115,002100
2614,10,11,18,0,10,14,2531,20,12,115,002401
2307,0,25,11,0,0,0,2118,153,12,115,002605
2702,230,16,1,0,36,5,2378,36,12,115,002710
7645,38,16,357,16,38,103,6952,125,12,115,002718
4617,505,0,36,0,41,226,2864,945,12,115,000102
5044,1007,0,27,0,43,79,3246,642,12,115,001101
4641,71,0,23,0,43,0,4182,322,12,115,002005
2320,0,0,0,0,0,53,2240,27,12,115,002601
2839,0,0,181,0,12,143,2503,0,12,115,002604
36185,3120,0,837,0,258,763,28893,2314,12,115,002712
9174,0,0,107,0,22,157,8650,238,12,115,002713
7279,47,15,9,0,0,0,7179,29,12,115,002715
7458,1,0,44,0,95,13,7235,70,12,115,002716
4099,0,0,95,0,57,163,3182,602,12,115,001302
4478,66,0,37,0,0,88,4088,199,12,115,002302
1368,13,0,36,0,17,56,1221,25,12,115,000404
3824,3038,0,1,0,0,88,269,428,12,115,000300
3685,100,8,74,0,19,119,3148,217,12,115,001601
2767,81,0,51,0,9,0,2495,131,12,103,026002
5758,379,0,100,0,0,102,4873,304,12,103,026816
4061,231,16,37,0,0,206,3427,144,12,103,026908
3926,64,0,51,0,0,53,3631,127,12,103,026911
