B01001_001E,B01001B_001E,B01001C_001E,B01001D_001E,B01001E_001E,B01001F_001E,B01001G_001E,B03002_003E,B03002_013E,state,county,tract
4019,74,0,198,38,0,66,3476,167,12,103,027101
5681,0,0,40,0,13,24,5295,309,12,103,027501
2038,141,15,71,0,11,33,1662,105,12,103,028500
4080,3239,35,11,0,0,181,490,124,12,103,020600
2106,189,18,41,0,289,83,1299,187,12,103,025411
7289,1131,0,111,0,129,182,4514,1222,12,103,026500
3382,180,0,141,26,93,58,2681,203,12,103,026601
704,127,0,18,0,0,45,482,32,12,071,090100
3761,27,0,14,0,16,0,3599,105,12,071,001705
12411,710,18,136,0,211,112,7956,3268,12,071,010201
6411,639,12,57,0,90,38,3538,2037,12,071,010302
3103,29,0,29,0,0,138,2885,22,12,071,020400
8948,2546,0,61,0,383,241,2241,3476,12,071,040301
7235,1874,5,57,50,472,187,2083,2507,12,071,040303
9062,0,0,182,0,173,0,6519,2188,12,071,050308
2301,741,0,34,0,17,58,1367,84,12,073,000903
3549,915,0,146,0,78,88,2112,210,12,073,000904
3109,1101,38,103,0,7,115,1452,293,12,073,000905
6505,1330,0,134,0,1109,270,684,2978,12,097,042702
167,0,0,0,0,6,8,137,16,12,097,043201
501,0,0,0,0,0,0,424,77,12,097,043202
4569,135,30,48,0,344,227,2160,1625,12,097,043203
20598,1906,0,591,0,2563,818,8614,6106,12,097,043204
1651,0,3,14,0,0,0,1438,196,12,097,043205
291,0,0,0,0,0,0,282,9,12,097,043206
1648,0,0,0,0,37,73,1353,185,12,097,043301
13324,1017,210,79,0,1347,384,7179,3108,12,097,043302
6276,2965,46,186,0,142,343,1437,1157,12,011,060114
3882,1322,0,183,0,139,310,1254,674,12,011,060207
4702,592,0,292,0,24,44,2613,1137,12,011,060505
6424,554,0,143,0,70,691,3828,1138,12,011,061001
6569,525,20,508,7,335,87,2104,2983,12,011,070311
6957,431,0,433,0,223,116,2592,3162,12,011,070312
5779,130,0,467,60,66,399,3214,1443,12,011,070405
6667,514,0,431,0,729,18,2626,2349,12,011,080403
3944,88,0,62,0,44,204,2986,560,12,011,090200
6585,2336,0,83,0,341,273,1102,2450,12,011,091400
3204,255,0,108,0,26,91,1849,875,12,011,100103
4041,117,0,0,0,62,36,3034,792,12,115,000405
3726,57,0,117,10,0,90,3307,145,12,115,000602
2350,45,0,28,0,0,0,2144,133,12,115,000900
4593,243,41,7,0,44,84,2562,1612,12,115,001202
3366,79,0,39,0,27,102,2475,644,12,115,001503
3121,0,3,23,0,17,24,2645,409,12,115,001504
6127,20,0,58,0,20,149,5412,468,12,115,001702
3315,128,34,65,0,201,21,2589,277,12,115,000502
3700,506,7,125,0,85,30,2440,507,12,115,001000
6782,15,0,155,0,14,114,6284,200,12,115,001403
2910,20,0,98,0,69,87,2280,356,12,115,001804
4029,178,0,29,0,20,22,3456,324,12,115,002004
3900,221,0,72,8,84,401,2948,166,12,103,027308
6099,1045,15,122,0,22,166,3820,909,12,103,027402
1794,32,0,9,0,0,64,1464,225,12,103,027403
7637,278,24,139,0,82,54,6973,87,12,103,027502
2660,9,0,33,0,0,31,2470,117,12,103,027701
2359,0,0,61,0,10,70,2148,70,12,103,027901
4145,9,15,255,0,12,98,3610,146,12,103,028002
1304,41,0,0,0,6,60,1172,25,12,103,028402
3316,155,0,90,0,24,36,2919,92,12,103,028102
3301,1894,3,105,0,0,107,1175,17,12,103,020301
3336,231,0,124,0,0,46,2740,195,12,103,021500
6699,1007,71,147,48,9,114,5174,129,12,059,960400
3987,184,44,4,0,67,19,3521,148,12,059,960100
5753,126,101,0,0,0,45,5377,104,12,059,960200
3097,204,0,0,41,61,153,1676,962,12,081,000307
4582,458,0,34,0,37,235,3326,492,12,081,000308
4437,784,62,17,0,28,174,2400,972,12,081,000309
4244,169,0,58,0,173,62,2428,1354,12,081,000310
4488,189,0,12,0,139,48,3049,1051,12,081,000603
5576,1059,0,360,20,43,335,3268,491,12,099,000903
3647,120,0,205,0,76,73,2175,998,12,099,003400
4747,578,22,0,0,472,138,1117,2420,12,099,004402
7472,5074,0,0,0,71,49,1786,492,12,099,005702
3408,16,12,0,0,0,60,3170,150,12,099,005931
5550,4286,0,0,0,354,49,608,253,12,099,001801
3078,40,0,28,0,3,25,2924,58,12,099,000102
2682,77,9,9,0,17,9,2465,96,12,071,001501
6688,1323,14,0,0,414,44,2109,2784,12,071,001502
2617,10,0,84,0,0,49,2182,292,12,095,016002
6279,661,0,294,0,117,153,1739,3315,12,095,016715
2786,2611,0,0,0,0,60,30,85,12,095,011702
7261,1330,7,415,0,373,537,3511,1088,12,095,014804
2378,65,0,138,0,82,34,1932,127,12,031,016801
2408,1597,0,0,0,14,138,652,7,12,031,000300
4572,1978,0,92,0,344,63,1890,205,12,031,015002
7982,896,0,975,0,87,294,5390,340,12,031,014326
3038,1173,0,187,0,19,106,1477,76,12,031,014702
7960,2519,0,319,121,145,201,3455,1200,12,031,015802
3495,2742,0,21,0,166,77,387,102,12,031,002600
5387,4855,0,0,0,0,15,397,120,12,031,010700
1735,471,0,35,0,86,64,1052,27,12,031,012100
7220,1098,31,420,0,112,875,4177,507,12,031,014328
2308,323,72,264,0,41,87,983,538,12,031,016200
4752,4614,0,0,0,0,25,99,14,12,031,002801
7193,242,0,72,0,0,110,6502,267,12,031,016804
9086,2528,52,0,0,80,78,5884,464,12,007,000200
5547,1281,33,10,0,0,72,4004,147,12,007,000400
6968,141,0,148,0,0,45,6453,181,12,007,000300
5378,1403,19,0,0,4,150,3649,153,12,007,000100
4948,1820,32,12,0,126,132,2703,123,12,009,062500
4895,175,0,71,0,0,243,3894,512,12,009,064400
4082,30,0,23,0,9,8,3934,78,12,009,065234
7109,187,17,85,0,0,230,6342,248,12,009,066900
4067,0,0,46,0,0,24,3857,140,12,009,071100
7443,896,138,153,0,146,628,4690,792,12,009,065122
3978,103,0,19,26,74,46,3524,186,12,009,066500
2010,125,27,29,0,0,21,1786,22,12,009,068400
9760,2051,0,130,0,170,379,5373,1657,12,009,071322
6853,422,0,695,5,47,349,4715,620,12,009,064901
7061,58,0,121,0,47,158,6442,235,12,009,066301
4760,314,0,109,8,147,92,4034,56,12,031,014330
4868,348,12,91,0,43,71,3185,1118,12,031,014331
8680,576,0,332,0,31,268,6758,715,12,031,014332
3383,712,0,0,0,96,219,2177,179,12,031,014333
4824,979,6,252,0,22,171,3146,248,12,031,014334
8261,1090,0,711,0,65,396,5318,681,12,031,014335
7206,1005,22,1290,0,0,300,3871,718,12,031,014336
4153,671,0,164,0,118,84,2186,930,12,101,032113
3036,56,0,63,12,76,99,2298,432,12,101,032401
3505,329,59,23,0,42,102,1730,1220,12,101,032402
3208,923,0,0,0,42,94,964,1185,12,101,032601
3361,464,0,28,0,58,75,1910,826,12,101,032602
1838,51,0,43,8,0,13,1587,136,12,101,032801
3080,33,36,0,0,18,23,2740,230,12,101,032802
7007,427,0,461,0,293,338,4538,950,12,057,013919
4001,181,7,198,0,507,61,2870,177,12,057,013920
4504,332,0,170,0,17,232,3345,408,12,057,013921
2166,635,34,30,0,30,48,1107,282,12,105,016400
2575,1125,23,0,0,216,0,1000,211,12,055,960900
3931,178,0,33,0,66,234,3182,238,12,055,960700
5093,39,0,41,0,477,138,3778,620,12,055,961500
5055,305,0,0,0,182,64,3055,1449,12,055,961700
7755,1074,0,402,0,690,221,4066,1302,12,055,960400
5311,63,17,10,0,17,49,4683,472,12,055,961400
4084,333,0,0,0,0,16,2947,788,12,121,970200
8800,911,18,25,32,138,0,7251,425,12,121,970500
6607,1713,0,8,0,0,729,3705,452,12,121,970100
7746,69,48,10,0,102,313,6960,244,12,121,970600
7885,2204,0,0,0,16,130,4713,822,12,121,970400
7345,98,0,346,0,102,19,291,6489,12,086,008902
6933,2514,21,224,0,325,162,690,2997,12,086,008307
6199,32,6,196,0,313,34,390,5228,12,086,008602
7136,5951,0,1,0,61,203,189,731,12,086,009600
10605,9000,30,241,0,99,44,292,899,12,086,009901
7851,55,0,214,0,401,0,230,6951,12,086,009308
8374,3916,7,0,0,181,32,371,3867,12,086,010006
4887,292,34,70,0,189,66,2124,2112,12,086,010604
7578,515,0,0,0,239,20,52,6752,12,086,005302
3736,318,141,149,0,84,64,955,2025,12,086,019700
9892,475,36,233,0,168,38,1474,7468,12,086,019800
12338,700,0,314,0,688,455,929,9252,12,086,019900
7319,436,0,81,0,340,81,1216,5165,12,086,020000
5173,375,0,104,0,348,42,799,3505,12,086,020100
4987,774,15,38,0,247,211,402,3300,12,086,020200
3509,272,0,26,0,178,31,280,2722,12,086,020300
0,0,0,0,0,0,0,0,0,12,086,980100
0,0,0,0,0,0,0,0,0,12,086,980200
4704,575,4,478,7,35,114,2927,564,12,086,980300
0,0,0,0,0,0,0,0,0,12,086,980400
0,0,0,0,0,0,0,0,0,12,086,980500
0,0,0,0,0,0,0,0,0,12,086,980600
929,391,0,2,0,0,244,64,228,12,086,980700
0,0,0,0,0,0,0,0,0,12,086,980800
0,0,0,0,0,0,0,0,0,12,086,980900
2765,29,0,7,0,25,0,2657,47,12,109,021004
5659,1257,43,0,0,52,227,3916,164,12,109,021101
5093,695,46,20,0,0,126,3896,310,12,109,021102
2104,64,0,59,0,28,44,1760,149,12,109,021103
8673,221,0,157,0,123,56,7681,435,12,109,021203
6375,0,12,106,0,0,23,5912,322,12,103,027322
3042,163,10,9,0,15,102,2550,193,12,103,027323
4005,49,17,149,0,0,61,3587,142,12,103,027324
3774,29,31,249,0,0,20,3188,257,12,103,027325
3680,182,5,254,0,101,0,2652,486,12,103,027326
4631,157,0,125,0,84,136,3461,668,12,103,027327
2399,9,0,0,0,22,11,2314,43,12,103,027603
2043,8,0,120,0,0,0,1801,114,12,103,027604
1632,36,0,24,0,0,0,1464,108,12,103,027605
1824,0,0,11,0,0,27,1732,54,12,103,027606
1090,0,0,0,0,0,0,1055,35,12,103,027703
9004,6177,0,587,0,1016,165,819,240,12,095,012303
8035,5058,0,270,0,736,303,698,970,12,095,012305
6878,4596,0,165,0,655,215,1011,236,12,095,012307
5496,3313,0,258,0,515,57,791,562,12,095,012403
3771,265,0,10,0,71,74,2857,494,12,095,013900
8460,7188,0,195,0,361,46,245,425,12,095,014601
2491,767,0,256,0,322,151,537,458,12,095,014703
6491,25,0,60,0,0,0,5882,524,12,021,010416
5696,78,94,308,0,119,96,3825,1176,12,021,010417
6210,330,0,217,0,108,13,5173,369,12,021,010418
3974,826,0,0,0,102,63,644,2339,12,021,010419
7858,1661,0,31,0,795,352,1339,3680,12,021,010420
2874,0,0,43,0,0,0,2816,15,12,021,010215
7414,223,0,142,0,15,256,3900,2878,12,021,010505
5443,69,0,100,0,179,0,3632,1463,12,021,010506
4226,300,0,320,0,15,16,2295,1280,12,021,010507
3893,12,0,145,0,54,31,2757,894,12,021,010508
5545,507,0,16,0,61,30,4755,176,12,021,010509
3399,81,0,61,0,0,53,3204,0,12,021,010510
3347,665,0,0,21,82,128,2033,418,12,021,010605
2656,162,20,46,0,0,0,2200,228,12,021,010606
1819,0,0,0,0,46,11,1702,60,12,021,010904
3096,0,0,64,0,0,67,2908,57,12,021,010905
1590,0,0,9,0,0,12,1513,56,12,021,011001
2278,13,0,12,0,0,9,2218,26,12,021,011002
2627,570,0,18,0,0,35,1174,830,12,021,011103
2835,41,0,0,0,0,54,2088,652,12,021,011105
3220,278,0,0,0,60,0,2331,551,12,021,011106
6723,1173,0,77,0,358,27,432,4656,12,021,011301
6723,1146,0,4,0,353,24,386,4810,12,021,011302
0,0,0,0,0,0,0,0,0,12,021,990000
4262,431,55,21,0,37,150,3526,42,12,023,110201
5691,1978,9,20,0,30,0,3386,268,12,023,110202
9594,4212,103,9,13,187,194,4475,401,12,023,110300
2285,1254,31,0,0,0,61,851,88,12,023,110400
7697,1340,0,245,0,40,288,5403,381,12,023,110500
8331,523,22,136,0,258,359,6693,340,12,023,110601
4971,485,0,24,0,4,204,4061,193,12,023,110602
8640,4904,0,57,0,356,215,2001,1107,12,095,015106
2566,889,0,96,0,128,68,1089,296,12,095,015901
3543,308,0,396,0,83,207,2238,311,12,095,016409
8688,1117,0,411,0,841,288,3337,2694,12,095,016508
2186,74,0,189,0,120,52,1454,297,12,095,016408
3315,0,0,30,20,64,0,2889,312,12,099,007416
1056,0,0,18,0,41,0,979,18,12,099,007418
3419,53,0,32,0,26,18,3079,211,12,099,007420
2791,13,30,13,0,26,0,2671,38,12,071,080202
8827,2045,0,1,0,752,76,3852,2101,12,071,001201
5215,279,10,29,0,240,84,3763,810,12,071,001601
2900,0,0,74,0,0,14,2737,75,12,071,001903
4086,66,36,85,0,0,92,3564,243,12,085,001406
5768,164,9,25,0,0,283,4840,447,12,085,000300
4432,152,62,55,0,0,0,3966,197,12,085,001302
3969,148,0,47,0,19,12,3515,228,12,085,001500
6996,9,0,56,0,47,32,6578,274,12,085,001102
2236,113,0,16,0,375,108,1064,560,12,085,001200
2285,1225,0,0,0,8,0,817,235,12,085,000800
5787,358,0,149,0,0,186,4874,220,12,085,001404
3218,311,0,0,0,88,57,2636,126,12,107,951300
4004,47,0,13,0,7,75,3759,103,12,107,950100
6302,154,0,0,0,84,145,5347,572,12,107,950500
5902,1300,42,9,0,30,1,4293,227,12,107,950600
5673,1354,40,124,0,0,401,3671,83,12,107,950900
4460,625,0,0,0,14,139,3642,40,12,107,951100
7102,1024,0,49,0,39,165,5447,378,12,107,950300
4356,2101,0,14,8,6,95,1607,525,12,107,950700
4268,971,0,49,0,28,71,2918,231,12,107,951000
2762,435,0,18,0,0,55,2160,94,12,107,950400
3190,1848,0,0,0,0,123,1149,70,12,107,950800
4886,322,63,13,0,135,42,4037,274,12,107,951200
3498,0,0,41,0,76,72,3073,236,12,115,001801
2963,0,7,40,0,0,32,2847,37,12,115,002201
4834,304,13,69,0,0,234,4036,178,12,115,002202
3532,24,11,231,0,0,7,3206,53,12,115,002402
4007,202,17,44,0,15,12,3548,169,12,115,002509
2511,0,0,21,0,0,31,2415,44,12,115,002602
4439,382,0,26,0,0,31,3899,101,12,115,000101
5652,1877,14,65,0,25,250,2606,815,12,115,000200
4693,116,43,242,0,17,82,3725,468,12,103,022602
4078,1828,37,73,0,5,100,1825,210,12,103,020302
2454,860,9,39,0,19,122,1180,225,12,103,021600
3632,14,0,89,0,17,168,3112,232,12,103,022401
3342,316,0,13,0,35,155,2530,293,12,103,023500
5197,261,12,319,36,26,324,3428,791,12,103,022501
3885,253,9,84,0,154,108,2728,549,12,103,022502
4385,67,11,330,0,98,192,3380,307,12,103,024302
5631,937,0,445,10,312,270,3003,654,12,103,024406
3403,154,54,53,0,15,27,2801,299,12,103,025112
4601,36,2,84,0,11,193,4171,104,12,103,025121
5721,188,0,57,0,0,18,5327,131,12,103,025203
2795,47,0,51,0,0,13,2625,59,12,103,025015
2344,73,15,35,0,4,28,2109,80,12,103,025106
4312,52,8,175,0,53,208,3569,247,12,103,025109
5002,33,0,32,0,73,15,4581,268,12,103,025110
3228,141,0,25,0,0,25,3028,9,12,103,025114
2098,123,17,19,18,33,80,1718,90,12,103,025116
3580,7,27,110,0,8,26,3282,120,12,103,025120
3419,133,22,74,157,9,39,2924,61,12,103,025204
5386,331,0,0,0,0,113,4595,347,12,103,025303
3111,18,8,8,9,0,78,2913,77,12,103,025304
4097,23,0,158,0,46,70,3615,185,12,103,025700
2904,31,0,8,0,0,14,2786,65,12,103,026001
3478,103,28,267,0,80,39,2246,715,12,117,022105
6705,469,0,545,0,37,117,3828,1709,12,117,022207
1241,188,0,13,0,40,12,881,107,12,117,020101
5863,266,11,25,0,0,281,5081,199,12,009,065231
4626,26,0,92,0,0,111,4121,276,12,009,066400
1506,131,11,82,0,44,55,1004,179,12,009,067100
3140,12,0,6,0,0,5,2767,350,12,009,069300
3775,10,0,44,0,19,43,3487,172,12,009,069801
8974,1594,0,229,0,189,132,5540,1290,12,009,071334
5184,391,0,24,0,0,127,4394,248,12,009,060300
7606,1761,17,112,15,95,222,4225,1159,12,009,062400
3933,219,40,104,0,121,0,3355,94,12,009,062800
3285,108,0,266,0,19,105,2535,252,12,009,065001
6300,1203,59,266,0,143,165,3433,1031,12,009,065121
3926,606,24,56,0,205,138,2717,180,12,009,065123
4638,0,0,76,0,0,85,4136,341,12,009,066101
6686,33,0,97,0,52,180,6096,228,12,009,069400
2656,457,0,21,0,60,118,1733,267,12,009,069700
2657,140,0,71,0,59,79,2064,244,12,009,069200
4435,809,0,61,14,0,22,2982,547,12,009,069902
7906,454,0,374,0,45,66,6722,245,12,009,062103
3029,599,30,9,0,0,67,1954,370,12,009,064800
2673,37,0,0,0,14,10,2315,297,12,009,068300
6053,297,43,281,0,0,439,4552,441,12,009,064301
4345,2905,0,6,0,0,15,1317,102,12,099,005701
4750,959,0,150,0,133,126,2587,795,12,099,005917
3755,251,0,241,0,176,80,2217,790,12,099,005918
4401,736,0,72,0,13,0,3403,177,12,099,005926
4474,2033,0,143,0,38,78,1616,566,12,099,006201
3975,29,0,82,0,0,0,3796,68,12,099,006402
6360,4887,0,81,0,423,100,609,260,12,099,006801
5199,391,0,63,0,71,202,3557,915,12,099,006906
6501,810,0,200,0,61,216,3952,1262,12,099,007725
5558,290,13,375,0,358,160,2749,1613,12,099,007732
6553,302,30,263,0,41,196,5109,612,12,099,007805
8193,1717,30,191,0,684,94,3551,1926,12,099,007817
2857,68,0,56,0,57,13,1907,756,12,099,007820
7225,19,30,96,0,128,51,6356,545,12,099,000101
2975,55,0,159,0,114,125,1893,629,12,099,000802
3280,1430,0,102,0,0,55,1394,299,12,099,001907
1841,1494,0,0,0,8,25,115,199,12,099,002400
5041,412,0,298,0,33,99,3634,565,12,099,002700
1866,90,0,31,0,11,0,1623,111,12,101,032803
2691,148,50,69,0,0,20,1993,411,12,101,032804
5597,585,0,428,0,23,117,3740,704,12,101,032901
1745,24,9,27,0,51,52,1511,71,12,101,032902
3239,0,10,75,0,8,27,2858,261,12,101,032903
2463,256,14,0,0,12,51,1928,202,12,101,032904
4274,43,55,104,0,18,92,3476,486,12,101,033005
2246,0,0,38,0,225,0,1885,98,12,101,033006
1887,11,0,0,0,19,0,1814,43,12,101,033007
2401,159,9,8,0,36,41,2092,56,12,101,033008
2907,86,35,6,0,83,95,2359,243,12,101,033009
3700,37,0,48,0,73,113,3120,309,12,101,033010
1951,98,0,24,6,14,0,1620,189,12,101,033011
2536,16,0,0,0,14,0,2340,166,12,101,033012
3098,214,0,42,0,49,382,2068,343,12,101,033013
2616,71,0,0,0,0,28,2403,114,12,101,033014
2546,107,0,8,0,0,0,2278,153,12,101,033101
1813,0,0,6,0,0,0,601,1206,12,086,004608
4147,317,0,0,0,102,48,330,3350,12,086,005102
3041,227,0,12,0,64,9,24,2705,12,086,005103
4861,303,0,0,0,115,160,154,4129,12,086,005104
4169,91,0,0,0,125,126,5,3822,12,086,005303
5319,118,0,10,0,61,231,111,4788,12,086,005304
1702,7,0,0,0,51,0,48,1596,12,086,005403
4126,251,0,16,0,45,96,138,3580,12,086,005405
4101,128,0,0,0,78,211,71,3613,12,086,005406
4213,164,0,0,0,67,207,63,3712,12,086,005409
2830,47,0,0,0,21,23,331,2408,12,086,006201
2109,12,0,106,0,23,15,752,1201,12,086,006203
4384,2,14,90,0,122,168,510,3478,12,086,006205
2631,121,0,2,0,14,155,84,2255,12,086,005407
3920,88,182,0,0,15,55,35,3545,12,086,005410
2834,29,0,77,0,57,51,843,1777,12,086,006206
2643,51,0,22,0,109,12,244,2205,12,086,006504
3819,187,0,0,0,97,31,268,3236,12,086,006501
2533,85,0,6,0,47,125,260,2010,12,086,006503
3210,59,0,120,0,79,0,1100,1852,12,086,006705
2504,10,10,62,0,45,18,518,1841,12,086,006706
822,13,0,0,0,17,14,727,51,12,109,021204
1356,14,0,37,0,7,20,1230,48,12,109,021205
7099,56,110,95,0,48,80,6501,209,12,109,021206
1805,11,0,0,0,0,10,1784,0,12,109,021403
3123,0,0,0,0,13,0,3015,95,12,109,021404
5742,2,0,0,0,161,30,5160,389,12,109,021405
5047,16,0,0,16,27,31,4914,43,12,109,021406
1655,1,0,27,0,95,99,1362,71,12,109,021407
0,0,0,0,0,0,0,0,0,12,109,990100
0,0,0,0,0,0,0,0,0,12,109,990200
1000,434,0,6,0,40,0,451,69,12,111,380100
3456,2725,0,0,0,214,86,165,266,12,111,380200
6332,5167,14,0,0,45,172,391,543,12,111,380300
6745,1912,50,23,0,389,125,1775,2471,12,111,380400
5721,1579,0,0,0,446,126,2297,1273,12,111,380500
4337,823,0,15,0,433,24,1231,1811,12,111,380600
7834,1925,11,258,0,150,15,3618,1857,12,111,380700
3248,773,8,52,0,37,16,1972,390,12,111,380800
2364,1547,14,5,0,0,0,662,136,12,111,380901
5786,4385,64,0,0,136,74,700,427,12,111,380902
1214,102,0,0,0,6,18,1007,81,12,111,381000
7715,1191,0,99,0,0,249,5552,624,12,111,381101
4957,274,0,247,0,140,152,3786,358,12,111,381102
2071,215,30,35,0,0,6,1714,71,12,031,013100
3800,1430,50,172,0,200,138,1468,342,12,031,013522
4695,12,0,59,0,77,291,3966,290,12,031,014101
5249,887,0,152,0,22,209,2944,1035,12,031,014311
5624,479,0,89,0,0,193,4486,377,12,031,014601
6410,2110,0,209,0,41,139,3175,736,12,031,014901
6958,2647,0,475,16,86,135,3132,467,12,031,014902
3215,1313,73,20,0,0,1,1634,174,12,031,015300
4351,991,0,100,0,148,38,2735,339,12,031,015600
5125,1299,0,311,0,0,33,2591,891,12,031,015700
6753,901,0,57,0,57,151,4978,609,12,031,015801
5350,377,0,64,4,8,54,4342,501,12,031,016500
1618,34,0,58,0,0,17,1485,24,12,031,002300
3648,3506,33,0,0,12,10,44,43,12,031,002901
3031,2872,33,15,0,0,24,87,0,12,031,002902
5210,1584,36,46,0,71,225,3101,147,12,031,010301
7631,5610,0,106,0,95,54,1687,79,12,031,010303
3244,2460,0,0,0,72,110,524,78,12,031,011100
2954,2946,8,0,0,0,0,0,0,12,031,011300
6095,3697,0,83,0,0,243,1916,156,12,031,012602
2806,407,18,13,0,10,116,1895,347,12,031,013200
5903,1968,17,881,0,6,272,2334,425,12,031,000600
2652,176,0,65,0,110,10,2133,158,12,031,000800
3078,32,0,55,0,109,53,2459,370,12,099,007504
2708,152,0,114,0,0,10,2372,60,12,099,007505
1759,15,0,35,0,0,0,1703,6,12,099,007617
3992,220,0,64,0,0,8,3542,158,12,099,007618
2918,147,0,38,0,261,18,2051,403,12,099,007744
4463,51,0,113,0,7,116,3476,700,12,081,002017
4586,4298,0,0,0,57,18,183,30,12,031,011500
7800,1182,13,37,0,0,254,6159,155,12,031,011901
5328,1371,0,569,0,0,82,3121,185,12,031,011903
2917,593,0,63,0,67,93,1977,124,12,031,012900
2252,0,19,0,0,0,13,2144,76,12,031,013000
5446,2002,8,188,0,619,215,2257,157,12,031,013402
5352,730,0,227,0,116,263,3879,137,12,031,013902
6893,1223,0,544,0,0,463,3383,1280,12,031,014312
7579,571,0,1086,0,174,311,5060,377,12,031,014406
5508,598,19,376,0,89,284,3769,373,12,099,005915
2059,867,0,11,0,55,49,845,232,12,093,910300
3393,50,0,58,0,30,141,2913,201,12,093,910401
2758,6,28,0,0,257,28,1664,775,12,093,910402
3433,110,41,104,33,30,58,2868,189,12,093,910403
4716,155,31,0,0,60,82,3688,700,12,093,910500
4149,134,10,29,30,0,35,3485,426,12,093,910601
2025,60,105,0,0,18,5,1650,187,12,093,910602
0,0,0,0,0,0,0,0,0,12,093,990000
