B01001_001E,B01001B_001E,B01001C_001E,B01001D_001E,B01001E_001E,B01001F_001E,B01001G_001E,B03002_003E,B03002_013E,state,county,tract
3313,3267,0,0,0,8,0,25,13,11,001,009700
3617,3454,0,0,0,0,29,134,0,11,001,009807
3371,106,26,121,11,56,66,2635,350,11,001,000502
4328,2568,0,9,0,1352,94,193,112,11,001,001803
3584,2582,78,33,0,339,160,258,134,11,001,009508
2552,2389,0,0,0,18,17,128,0,11,001,007503
4965,4433,0,9,0,80,34,379,30,11,001,007601
2410,2266,7,0,0,14,94,20,9,11,001,007709
3342,2564,0,91,0,145,35,507,0,11,001,008903
2765,2198,10,11,0,221,63,232,30,11,001,009204
3085,2979,0,16,0,0,42,47,1,11,001,009902
2970,2572,0,0,12,291,45,49,1,11,001,009904
5160,34,0,320,0,128,124,3928,626,11,001,000100
6426,534,30,386,0,165,350,4501,460,11,001,000801
3567,321,0,292,0,80,216,2310,348,11,001,000802
7742,304,0,422,0,93,432,5895,596,11,001,001001
3346,1322,0,42,11,235,131,1360,245,11,001,001702
3719,1277,7,162,0,223,94,1479,477,11,001,003000
4219,1799,0,196,0,38,166,1853,167,11,001,003301
4904,1211,0,553,0,442,190,2086,422,11,001,003600
2404,21,8,151,0,96,106,1808,214,11,001,004202
4969,446,0,291,0,52,138,3512,530,11,001,000600
3443,302,0,303,16,150,130,2119,423,11,001,001402
4304,2436,13,101,0,717,79,798,160,11,001,002002
5050,3419,30,242,0,691,140,491,37,11,001,002101
4206,1967,0,80,0,336,118,1442,263,11,001,002400
6263,958,0,279,0,555,553,3385,533,11,001,002702
2900,999,0,117,0,107,111,1418,148,11,001,004801
3777,1620,17,429,0,13,72,1374,252,11,001,004802
5033,125,14,569,0,96,180,3779,270,11,001,005301
2380,891,0,87,0,28,97,1164,113,11,001,006801
2654,2229,24,0,0,68,49,189,95,11,001,006804
2725,178,0,61,0,115,200,1956,215,11,001,007000
4746,1329,6,113,0,98,302,2429,469,11,001,007301
3947,3583,0,9,0,254,24,77,0,11,001,007404
2796,2771,0,0,0,5,7,13,0,11,001,007504
3933,3333,0,51,0,236,92,211,10,11,001,007605
4884,321,0,102,34,286,119,3720,302,11,001,004001
4688,2866,0,100,0,82,211,1349,80,11,001,001600
4315,2657,0,117,0,515,50,694,282,11,001,001901
7805,2042,0,566,0,75,170,4672,280,11,001,010600
1756,117,0,201,35,52,48,1143,160,11,001,010700
3819,3629,0,22,0,15,112,34,7,11,001,010900
4188,1132,25,244,0,34,126,2439,188,11,001,011000
5571,4569,10,80,0,8,245,468,191,11,001,011100
2578,753,0,44,0,6,82,1632,61,11,001,006802
2447,2370,33,0,0,4,0,40,0,11,001,007806
