B02001_001E,B02001_002E,state,county,tract,block group
2250,1984,01,049,960400,2
993,0,01,091,973200,2
920,920,01,083,020300,2
1392,1358,01,071,951000,4
670,160,01,073,000100,2
1778,1261,01,069,040800,3
1006,618,01,073,012002,1
970,970,01,003,011300,3
2841,560,01,125,012304,1
1596,1558,01,021,060300,2
1764,1747,01,003,011300,2
1880,969,01,125,012303,2
910,153,01,097,002100,2
664,448,01,015,001600,1
2978,1466,01,097,003407,1
796,120,01,065,040400,1
1613,413,01,089,000301,1
3260,600,01,089,000202,1
1008,974,01,127,021000,3
0,0,01,097,000401,1
2940,2144,01,081,041700,4
480,319,01,057,020200,4
1576,960,01,073,011703,2
3330,425,01,125,012305,1
605,49,01,073,004200,2
887,134,01,073,000400,2
1159,154,01,073,013300,1
1686,1116,01,073,010001,2
2725,2075,01,083,020600,2
919,919,01,125,010203,2
597,113,01,073,010900,7
1053,813,01,079,979300,1
1999,1904,01,043,965700,2
999,802,01,031,010400,1
2613,2101,01,089,010401,2
1327,580,01,073,005302,2
1467,873,01,121,011300,5
1727,1403,01,103,000400,1
1594,998,01,027,958900,3
2398,435,01,101,005102,2
710,690,01,089,002000,2
1619,1410,01,055,010700,2
1771,1771,01,077,011400,3
983,927,01,069,040400,1
1084,318,01,073,012906,4
2041,1543,01,041,963500,1
1225,304,01,101,000300,1
1584,748,01,065,040200,1
1339,949,01,121,011100,1
1002,1000,01,049,961400,3
2352,1783,01,045,020000,2
755,570,01,073,012915,4
1437,216,01,047,956300,2
2065,1070,01,097,003710,3
515,512,01,093,964500,2
909,662,01,015,001800,5
511,420,01,017,954200,2
1859,1673,01,097,007000,3
1045,762,01,081,040902,4
1244,293,01,065,040300,2
1553,1408,01,045,021300,4
2024,445,01,101,005408,1
540,157,01,091,973300,3
844,567,01,073,005000,2
1025,833,01,079,979700,2
790,717,01,003,011202,4
1377,1332,01,021,060200,1
5371,4420,01,115,040103,2
2565,1799,01,121,010202,1
218,218,01,077,011102,1
1643,1363,01,073,011001,2
955,955,01,093,964000,5
886,742,01,101,000400,5
424,134,01,101,001500,2
2956,2574,01,089,001901,2
1890,210,01,101,005101,4
2506,2341,01,077,011604,2
688,406,01,015,000700,3
1688,1293,01,089,002722,2
3245,2931,01,097,005700,2
799,364,01,005,950800,1
944,668,01,015,001400,4
3473,734,01,073,011210,1
2319,2107,01,073,011108,1
380,136,01,047,956600,3
2224,1742,01,001,020700,1
611,541,01,117,030305,1
2771,1850,01,125,010802,2
530,530,01,071,950700,3
695,576,01,073,012602,1
1379,1107,01,039,961900,2
1446,358,01,121,010600,2
1811,856,01,097,003202,1
1713,1423,01,069,042000,1
734,579,01,077,010800,4
1087,748,01,051,031300,3
428,5,01,101,001000,1
463,255,01,101,005800,2
1700,906,01,069,040302,1
3298,668,01,073,011803,2
1141,1006,01,053,970100,1
1389,447,01,017,954500,4
2852,1926,01,073,012001,2
695,551,01,129,044300,1
1316,1280,01,133,965700,2
1955,1691,01,043,964900,1
3098,2134,01,031,011202,2
1400,809,01,097,006000,2
1123,1123,01,059,973700,4
1757,1132,01,125,010407,1
3581,3519,01,003,011403,1
1541,1127,01,043,965500,3
494,0,01,073,000800,2
1388,950,01,053,969800,3
848,848,01,127,021900,2
1022,328,01,107,050300,4
1320,419,01,073,011802,2
557,535,01,073,014001,4
629,5,01,097,001400,1
1811,1775,01,095,030300,2
931,890,01,019,955701,3
1566,1386,01,089,010100,4
1006,947,01,111,000200,3
917,328,01,005,950700,2
1376,541,01,033,020600,4
1571,553,01,101,005610,1
1898,1501,01,117,030320,2
1136,702,01,117,030213,1
1866,1635,01,015,002501,2
864,818,01,089,001000,3
2063,1368,01,073,011208,1
1372,1294,01,095,030402,1
631,222,01,063,060100,3
1038,731,01,077,010200,1
1614,942,01,097,006405,1
821,481,01,101,002100,1
1091,671,01,101,006000,1
