B02001_001E,B02001_002E,state,county,tract,block group
1943,653,04,019,001200,1
1559,1392,04,013,103209,4
1388,653,04,013,103609,4
1607,1392,04,025,002003,1
1420,1346,04,013,422002,2
2347,1680,04,013,422102,2
1281,951,04,013,422107,2
1170,988,04,013,422219,1
1136,955,04,013,422220,2
2040,1563,04,013,422308,3
1817,1531,04,003,001100,2
987,935,04,003,000400,1
1164,809,04,003,000800,1
2189,638,04,012,940300,4
675,392,04,012,940300,2
956,479,04,027,001200,3
1104,806,04,027,001200,4
1058,821,04,027,000800,4
1110,864,04,027,000800,5
1312,1151,04,027,000901,2
558,496,04,003,001000,2
379,311,04,012,020100,1
1261,1187,04,015,950600,2
815,546,04,027,000200,2
1449,1031,04,027,000302,1
1077,882,04,027,001100,4
682,548,04,027,011501,2
717,680,04,015,950600,4
1884,1532,04,013,116710,2
2818,2677,04,013,610700,3
2304,2272,04,019,004331,1
1466,1106,04,025,002002,1
1449,1329,04,025,001703,2
1807,1584,04,025,001603,1
2224,2021,04,025,001601,1
2625,2067,04,027,011108,1
1813,1323,04,013,422403,2
864,612,04,019,004422,2
2129,1927,04,013,420215,1
830,587,04,013,420214,3
901,874,04,013,420116,1
2243,1881,04,013,420303,2
921,888,04,003,000301,2
2459,2133,04,013,061037,2
1210,598,04,027,000404,1
1271,1086,04,013,810700,1
1488,1336,04,013,810600,2
1224,724,04,013,810500,2
804,623,04,013,810400,3
3074,2343,04,013,810300,3
977,742,04,013,810200,2
2078,1909,04,013,420208,2
2164,1169,04,027,011104,2
2580,1844,04,027,011406,3
762,762,04,027,011115,2
1070,505,04,019,001302,1
1305,1079,04,013,422621,3
1310,1188,04,013,422620,2
3875,3178,04,013,814800,1
1152,1029,04,013,814500,4
1473,1328,04,013,814500,1
1600,1360,04,013,614800,1
1265,968,04,013,614700,3
1231,1189,04,013,614400,1
998,806,04,013,614300,1
577,523,04,019,002704,2
2144,2047,04,019,005300,2
762,629,04,019,005200,4
2249,2190,04,019,004125,2
835,0,04,001,944902,3
1833,904,04,013,619900,2
1611,1088,04,013,103609,1
558,558,04,013,104215,3
525,437,04,013,104215,4
2266,1616,04,013,112401,3
775,42,04,019,940700,2
2393,1075,04,019,004321,2
659,640,04,019,004307,4
948,877,04,013,106300,4
1219,1160,04,021,001301,1
838,767,04,021,001000,3
2495,1952,04,021,001000,1
616,405,04,005,000400,2
564,474,04,005,000500,4
845,662,04,005,001700,2
916,738,04,005,001700,3
699,367,04,005,002100,2
1264,476,04,005,002100,1
1836,1663,04,021,001200,2
1785,1590,04,013,116731,1
1025,808,04,013,110901,1
3786,3173,04,013,061009,3
681,484,04,013,061100,1
1056,824,04,013,103612,1
1613,978,04,013,104206,2
2296,1268,04,013,104222,4
722,639,04,013,104223,1
2485,1335,04,013,103217,4
1089,850,04,013,103605,4
2682,1606,04,013,103608,1
1430,835,04,013,104205,4
741,617,04,013,116725,2
1589,1187,04,013,092900,1
2125,1688,04,013,092710,1
687,518,04,013,111602,1
1981,1734,04,013,422403,1
119,7,04,013,940700,1
573,526,04,013,318501,3
2052,1727,04,013,319402,2
2497,1607,04,013,319500,4
2004,1418,04,013,319703,1
2985,2218,04,013,113100,2
1361,585,04,013,114302,1
1765,1714,04,013,216819,3
0,0,04,013,980700,1
993,939,04,013,071516,2
1469,1147,04,013,420503,1
2321,2259,04,013,420110,2
1275,853,04,013,422002,3
588,555,04,021,000316,4
2276,1388,04,021,000801,4
